name,website,latitude,longitude,city,state,country
Arizona State University,https://www.asu.edu/,33.4213174,-111.9331593,Tempe,Arizona,United States
George Mason University,https://www.gmu.edu/,38.8308,-77.3075,Fairfax,Virginia,United States
Old Dominion University,https://www.odu.edu/,36.88654,-76.30522,Norfolk,Virginia,United States
Springfield College,https://springfield.edu/,42.100667,-72.55433,Springfield,Massachusetts,United States
Texas Womans University,https://www.twu.edu/,33.225,-97.128,Denton,Texas,United States
The Ohio State University,https://www.osu.edu/,40.00669,-83.02695,Columbus,Ohio,United States
The University of Texas at Austin,https://www.utexas.edu/,30.285,-97.735,Austin,Texas,United States
University of Georgia,https://www.uga.edu/,33.948006,-83.377319,Athens,Georgia,United States
University of Kentucky,https://www.uky.edu/,38.031233,-84.500018,Lexington,Kentucky,United States
University of New Mexico,https://www.unm.edu/,35.084435,-106.650422,Albuquerque,New Mexico,United States
University of Northern Colorado,https://www.unco.edu/,40.521,-105.055,Greeley,Colorado,United States
University of South Carolina,https://www.sc.edu/,34.000714,-81.034814,Columbia,South Carolina,United States
West Virginia University,https://www.wvu.edu/,39.6295,-79.9559,Morgantown,West Virginia,United States
University of North Carolina at Greensboro,https://www.uncg.edu/,36.0679595,-79.8103669,Greensboro,North Carolina,United States
University of North Dakota,https://und-public.courseleaf.com/graduateacademicinformation/departmentalcoursesprograms/education/highereducation/he-phd/,47.92285337,-97.07661571,Grand Forks,North Dakota,United States